,filename,1,2,3,4,5,6,7,8,9,10,mean
0,kuma-kum-GKbPbR0ZAT4-unsplash.jpg,16,0,0,0,0,0,0,0,0,0,1.0
5,pexels-kaniseeyapose-2751061.jpg,7,0,0,0,2,0,0,0,0,0,1.8888888
6,puvvukonvict-photography-AtpSEe3yoIg-unsplash.jpg,15,0,0,1,1,0,0,0,0,0,1.4117647
9,pexels-nandhu-kumar-2703082.jpg,4,2,1,1,0,0,0,0,0,0,1.875
10,shifaaz-shamoon-MqLy-G-dBi8-unsplash.jpg,9,1,3,3,3,1,2,0,0,0,3.0454545
12,elderly-1557141_1920.jpg,16,3,1,1,0,3,2,0,0,0,2.3461537
15,pexels-himesh-mehta-2880285.jpg,3,1,1,2,1,0,0,0,0,0,2.625
16,swapnil-dwivedi-N2IJ31xZ_ks-unsplash.jpg,17,8,9,5,2,4,0,0,0,0,2.5326087
17,thoughtful-583373_1920.jpg,12,5,5,0,1,1,1,0,0,0,2.2
18,chander-mohan-9zaQ3PjrvxA-unsplash.jpg,10,11,6,6,4,2,0,0,0,0,2.7125
19,kamil-mehmood-E_9onZVXwcQ-unsplash.jpg,14,9,5,4,6,2,0,0,0,0,2.6190476
20,suranjan-koirala-95-3iy_pj2I-unsplash.jpg,8,4,1,2,3,0,0,0,0,0,2.3333333
21,lumensoft-technologies-JGGaefIIc6Y-unsplash.jpg,13,10,7,7,4,4,0,0,0,0,2.8
22,simon-marsault-jUyP2PcuBls-unsplash.jpg,10,3,2,4,2,1,0,0,0,0,2.6597223
23,yannes-kiefer-VZfSq4TQTHY-unsplash.jpg,12,4,2,1,3,2,3,0,0,0,2.8888888
24,pexels-blac-bear-3805873.jpg,2,3,0,2,0,1,0,0,0,0,2.75
25,sadhu-1166066_1920.jpg,14,8,3,3,3,2,2,0,0,0,2.7149122
26,robert-harkness-MB_5XK9E7vM-unsplash.jpg,4,2,4,0,0,0,0,0,0,0,2.0
28,pexels-yogendra-singh-5499219.jpg,3,1,2,0,2,1,0,0,0,0,3.0
29,filipp-romanovskij-H4q-AEA02rY-unsplash.jpg,4,3,1,0,2,1,1,0,0,0,3.0
30,katie-moum-yXfdoI66AtQ-unsplash.jpg,12,9,4,5,7,3,3,0,0,0,3.1627908
31,india-1129954_1920.jpg,13,7,6,5,7,0,2,0,0,0,2.9476745
32,filipe-almeida-mnEWC72eWDM-unsplash.jpg,15,6,8,6,3,5,0,0,0,0,2.8068182
33,ashwini-chaudhary-fvm4bFVK7qM-unsplash.jpg,11,8,8,9,3,0,5,0,0,0,3.1793478
34,luca-anasta-JMNXb6KBJwI-unsplash.jpg,10,7,4,8,6,6,2,0,0,0,3.4418604
35,man-4220914_1920.jpg,14,4,5,6,6,4,2,3,0,0,3.4772727
36,anelale-najera--p_HZ1et98U-unsplash.jpg,13,2,2,3,3,0,2,2,0,0,2.9629629
37,march-for-peace-1727917_1920.jpg,5,8,4,4,4,1,0,0,0,0,2.8846154
38,philippe-leone-ffrGEGb4Y58-unsplash.jpg,15,8,9,3,3,2,4,1,0,0,2.9555554
39,girl-1763686_1920.jpg,6,3,8,2,5,1,0,0,0,0,3.0
40,granny-1280445_1920.jpg,10,6,2,3,3,1,2,1,0,0,2.9642856
41,indian-woman-5092871_1920.jpg,5,7,3,3,5,2,0,0,0,0,3.0961537
43,pexels-italo-melo-1786258.jpg,2,2,2,1,1,0,1,0,0,0,3.1111112
45,man-984217_1920.jpg,7,8,11,2,4,2,0,0,0,0,2.7972972
46,ursula-spaulding-_B_UiKIAo20-unsplash.jpg,11,2,3,2,5,0,1,0,0,0,2.6666667
47,sudanese-2895751_1920.jpg,5,2,5,3,4,0,0,0,0,0,2.9473684
48,jd-mason-13_7xGYBb7c-unsplash.jpg,13,10,6,5,3,6,4,0,0,0,3.2375
49,anton-darius-NaV1BloVk0g-unsplash.jpg,6,4,1,1,4,2,1,0,0,0,3.175
50,mile-modic-Sv9xCQ7RBCs-unsplash.jpg,5,4,3,3,1,2,2,0,0,0,3.25
51,aleksandar-popovski-Jy4ELSGPHTc-unsplash.jpg,12,7,9,4,2,5,2,2,0,0,3.3913043
52,grandmother-5903707_1920.jpg,3,1,1,0,1,0,1,0,0,0,2.857143
53,charles-buchler-C6-GjBAOtZc-unsplash.jpg,13,8,3,4,3,2,2,0,0,0,2.7916667
54,old-woman-4189578_1920.jpg,8,0,3,4,1,0,2,0,0,0,2.8888888
55,ashkan-forouzani-IZROIf9IO3I-unsplash.jpg,10,7,6,4,5,1,0,0,0,0,2.6911764
56,yogendra-singh-AlpBsZF_uXM-unsplash.jpg,6,2,2,1,4,2,0,0,0,0,3.0588236
57,marisa-harris-b95_M23cIXA-unsplash.jpg,5,4,6,3,4,5,1,0,0,0,3.5714285
58,man-61004_1920.jpg,8,6,9,5,8,6,0,0,0,0,3.5833335
59,capturing-the-human-heart-i9uIhSlOWYc-unsplash.jpg,16,7,4,6,5,1,4,1,0,0,3.0333333
60,man-3057370_1920.jpg,9,10,7,3,6,4,3,3,0,0,3.507092
61,nathan-dumlao-ger61_TX6oI-unsplash.jpg,11,8,8,5,4,3,4,0,0,0,3.1370368
62,qasim-sadiq-A4FN0SPut6w-unsplash.jpg,2,4,1,0,0,1,1,0,0,0,2.8888888
65,pexels-anna-shvets-4971982.jpg,3,1,1,1,0,2,0,0,0,0,3.0
67,kim-jones-EcldzGBAB0A-unsplash.jpg,5,4,5,4,1,3,2,0,0,0,3.2371793
68,man-2702805_1920.jpg,7,11,3,11,4,11,1,0,0,0,3.6836734
69,people-3247352_1920.jpg,7,11,9,7,5,8,3,0,0,0,3.56
70,wilfred-sequeira-tXNjCm4bN8Y-unsplash.jpg,9,4,12,7,9,5,2,0,0,0,3.64
71,people-3231960_1920.jpg,7,6,9,12,4,1,0,0,0,0,3.0284555
72,ilaya-raja-uX0yUOEYFFU-unsplash.jpg,6,3,13,7,7,4,1,0,0,0,3.5595238
73,patricia-prudente-__LnEJsm7ns-unsplash.jpg,9,10,9,5,4,4,3,1,0,0,3.402174
74,fran-hogan-0vyvnOH-LVQ-unsplash.jpg,4,7,2,5,1,3,1,0,0,0,3.1875
75,timothy-barlin-2BJwlRZaR5M-unsplash.jpg,6,10,11,9,7,2,1,0,0,0,3.2695034
76,paola-aguilar-LkQHGSVzfsk-unsplash.jpg,6,1,4,4,0,0,1,2,0,0,3.2777777
77,kahar-erbol-ifl-af6d_0c-unsplash.jpg,8,2,3,1,1,2,1,0,0,0,2.7222223
78,portrait-2529904_1920.jpg,10,5,6,5,6,4,4,2,0,0,3.75
79,woman-1373041_1280.jpg,6,6,4,4,1,4,0,0,0,0,3.0
80,rad-pozniakov-J-fH2bKQQIA-unsplash.jpg,7,4,3,2,3,3,2,1,0,0,3.48
81,pexels-zorro-zombie-1261998.jpg,2,2,0,1,3,1,0,0,0,0,3.4444444
83,pexels-padli-pradana-3751857.jpg,2,0,4,0,0,0,1,0,0,0,3.0
84,pexels-cottonbro-4505450.jpg,4,0,1,0,2,1,0,1,0,0,3.4444444
85,mosoianu-bogdan-eY1_nQs9aNI-unsplash.jpg,8,6,1,1,6,2,3,2,0,0,3.6551723
86,man-2607437_1920.jpg,7,10,7,7,4,4,4,3,0,0,3.75
87,african-2942355_1920.jpg,5,3,3,5,4,3,1,0,0,0,3.54
88,woman-1393311_1920.jpg,8,4,6,2,3,2,1,2,0,0,3.2857144
89,payton-tuttle-n_RdRxH_7h4-unsplash.jpg,3,4,3,2,5,0,2,0,0,0,3.5263157
90,marisol-casben-PbwKSCq9aVo-unsplash.jpg,5,4,3,5,6,0,2,0,0,0,3.44
91,staring-3547110_1920.jpg,2,10,5,9,8,2,5,0,0,0,3.8333333
92,annie-lin-876188_1920.jpg,4,2,5,8,4,4,2,0,0,0,3.8965516
93,character-2454694_1920.jpg,8,4,3,0,3,3,1,3,2,0,3.9629629
94,national-cancer-institute-kooSjlL8LnQ-unsplash.jpg,5,8,7,6,10,4,2,5,0,0,4.138889
95,young-women-1281280_1920.jpg,4,4,7,7,4,3,1,0,0,0,3.5333333
96,ebony-1643426_1920.jpg,2,4,4,6,2,3,0,0,0,0,3.427536
97,carlos-macias-UWRTZRwPLyg-unsplash.jpg,8,2,10,6,9,2,2,0,0,0,3.5626984
98,igor-figueredo-WZhygX_blqg-unsplash.jpg,8,7,12,5,5,4,0,0,0,0,3.1674073
99,mongolia-4538999_1920.jpg,8,2,3,8,2,5,1,1,0,0,3.6
100,jyotirmoy-gupta-AXBsyZVjPLQ-unsplash.jpg,4,6,1,3,5,4,3,1,0,0,4.037037
103,esteban-castle-FULkoZ989E4-unsplash.jpg,4,3,0,3,5,1,1,0,0,0,3.7407408
104,face-3265605_1920.jpg,7,9,9,7,4,9,3,1,0,0,3.7346938
105,human-2538246_1920.jpg,4,7,6,13,4,2,3,1,0,0,3.7479672
106,theodore-goutas-aeq3jJj0sUw-unsplash.jpg,4,2,3,3,2,2,0,2,0,0,3.6052632
107,ashkan-forouzani-YlAp3Y7VUmA-unsplash.jpg,7,8,8,3,6,3,2,1,0,0,3.4529912
108,herbal-medicine-1182254_1920.jpg,5,10,5,9,7,4,3,3,0,0,3.9375
109,melodie-descoubes-o6siGr9lrwM-unsplash.jpg,8,4,5,5,4,6,5,4,1,0,4.259259
110,cristian-newman-l9I93gZKTG4-unsplash.jpg,8,2,1,1,2,2,2,1,0,0,3.3157895
111,mauro-paillex-moDxmttUP00-unsplash.jpg,4,4,12,6,7,3,2,0,0,0,3.7698414
112,jyotirmoy-gupta-nBe68MZSIYY-unsplash.jpg,7,5,9,5,10,5,4,0,0,0,3.8368797
113,the-landscape-3245475_1920.jpg,4,8,7,11,11,4,1,0,0,0,3.7173913
114,person-700003_1920.jpg,5,8,6,5,10,4,1,1,0,0,3.854167
115,model-4759613_1920.jpg,9,4,8,5,2,5,2,2,0,0,3.6083336
116,woman-1615242_1920.jpg,6,3,0,1,1,5,4,1,0,0,4.1666665
117,couple-engagement-pictures-2136097_1920.jpg,5,6,7,11,3,5,2,1,0,0,3.7619047
118,steward-masweneng-IvaGYGAX3jI-unsplash.jpg,3,5,5,0,4,2,1,0,0,0,3.35
120,pexels-pixabay-35539.jpg,1,3,2,0,1,0,1,1,0,0,3.6666667
121,pexels-saul-joseph-2846602.jpg,1,1,3,1,1,0,0,0,0,0,3.0
122,pexels-tom-leishman-5255326.jpg,3,0,2,1,1,1,0,0,1,0,3.6666667
123,pexels-macharia-edson-2914149.jpg,2,1,1,1,2,2,0,0,0,0,3.6666667
124,juan-encalada-vIM0htb0gJs-unsplash.jpg,1,3,4,0,0,0,0,1,0,0,3.0
125,man-1161334_1920.jpg,6,6,8,9,11,3,3,1,0,0,3.8297873
126,angelo-abear-l1AXPSU_W9M-unsplash.jpg,9,6,5,6,4,4,1,1,0,0,3.3055556
127,woman-2635404_1920.jpg,5,2,6,4,9,3,0,0,0,0,3.6551723
128,niklas-veenhuis-wMlBf99Uyss-unsplash.jpg,4,2,2,3,3,1,0,0,0,0,3.3333335
129,john-torcasio-1coR0hGFenQ-unsplash.jpg,7,8,8,2,5,1,1,3,0,0,3.3541667
130,sharon-mccutcheon-W2hSpLh5caQ-unsplash.jpg,5,8,6,9,6,6,2,1,0,0,3.9166667
131,credit-card-1599787_1920.jpg,6,6,5,10,6,7,2,2,0,0,4.0652175
132,annie-spratt-QdK6aujOLYs-unsplash.jpg,2,1,1,1,3,0,2,0,0,0,4.0
133,person-771996_1920.jpg,8,8,3,2,5,4,3,4,2,0,4.207364
134,ashkan-forouzani-Qqchjk9bk9U-unsplash.jpg,9,9,3,5,3,6,5,0,0,0,3.5731707
136,gabriel-tovar-E6gYWTFDsQI-unsplash.jpg,4,0,1,1,1,1,2,1,0,0,4.0
137,noah-blaine-clark-d8OX1jeN5Ac-unsplash.jpg,2,0,1,5,4,0,0,0,0,0,3.75
138,people-2456350_1920.jpg,9,2,8,6,6,3,2,0,0,0,3.4144142
139,jackson-david-8q-EOrlhP8I-unsplash.jpg,6,3,6,12,3,6,3,0,0,0,3.8139534
140,nathan-anderson-2nqji_XO20w-unsplash.jpg,5,3,4,5,6,2,1,0,0,0,3.5384614
141,man-1146530_1920.jpg,3,7,10,7,7,7,1,0,0,0,3.7992423
142,people-3332333_1920.jpg,5,4,4,2,5,4,3,1,0,0,3.9642856
143,fikran-jabbart-dZ6SQ0d-IVc-unsplash.jpg,1,2,0,1,0,2,1,0,0,0,4.0
144,pexels-cottonbro-6626360.jpg,3,0,1,2,0,2,0,1,0,0,3.7777777
145,pexels-hussein-altameemi-1678821.jpg,1,0,3,0,4,0,0,0,0,0,3.75
146,pexels-rafael-freire-5714735.jpg,1,2,2,1,0,2,1,0,0,0,3.7777777
147,mature-857525_1920.jpg,2,4,5,8,5,3,0,0,0,0,3.7037036
